gene_name,ctrl_raw_mean,ctrl_clean_mean,ambient_mean,ambient_fraction,is_jakstat,interpretation
IFIT1,0.01876005530357361,0.018194303978151603,0.0005657513254220051,0.030157231216383192,True,CLEAN
IFIT3,0.029327722266316414,0.028499040081047512,0.0008286821852689016,0.02825593401846494,True,CLEAN
MX1,0.05395789444446564,0.05313628421417437,0.0008216102302912656,0.015226877155795628,True,CLEAN
ISG15,0.190476655960083,0.18765924313211388,0.002817412827969129,0.01479138119980202,True,CLEAN
RPS18,2.126852035522461,2.107162417948717,0.019689617573743767,0.00925763393263369,False,CLEAN
RPS6,2.1802616119384766,2.1603687287583373,0.019892883180139265,0.00912408083103956,False,CLEAN
RPL3,2.1125998497009277,2.09350228867787,0.019097561023057708,0.00903983829486747,False,CLEAN
RPS4X,2.0660393238067627,2.0475674704409728,0.018471853365789936,0.008940707542659345,False,CLEAN
MALAT1,4.314748287200928,4.280040061886004,0.03470822531492335,0.008044090409139332,False,CLEAN
ISG20,0.33633947372436523,0.33368362506732097,0.0026558486570442685,0.007896333509818037,False,CLEAN
RSAD2,0.014510475099086761,0.014398111650995481,0.0001123634480912801,0.0077436091736480675,False,CLEAN
TMSB4X,3.444685935974121,3.4180346770481207,0.0266512589260004,0.007736919829953583,False,CLEAN
OAS1,0.04924381896853447,0.04886769844390285,0.00037612052463161655,0.007637923550810465,True,CLEAN
B2M,3.599555492401123,3.5726713399511705,0.02688415244995257,0.0074687423229636615,False,CLEAN
HBB,0.1027170717716217,0.10196807517239921,0.0007489965992224928,0.00729184142717572,False,CLEAN
IFI44L,0.024418579414486885,0.02424883076460994,0.00016974864987694474,0.006951618560424422,False,CLEAN
MX2,0.027051692828536034,0.02687933014576427,0.00017236268277176503,0.006371604315643593,True,CLEAN
FTH1,3.6922507286071777,3.6687760993625114,0.023474629244666367,0.006357810173287356,False,CLEAN
CMPK2,0.007146172691136599,0.007103860334781062,4.2312356355536304e-05,0.005920981507767975,False,CLEAN
FTL,2.183105230331421,2.173420878323417,0.009684352008004105,0.004436044526600263,False,CLEAN
ACTB,1.4536213874816895,1.4477241252353403,0.005897262246349122,0.004056945155826146,False,CLEAN
TNFSF10,0.05437767133116722,0.054180745230527114,0.0001969261006401074,0.0036214515226443106,False,CLEAN
IFI44,0.02409156784415245,0.024018539909772867,7.302793437958394e-05,0.003031265331173098,False,CLEAN
SAT1,0.5524631142616272,0.5508636952896518,0.0015994189719753527,0.002895069246592133,False,CLEAN
HBA2,0.04708384349942207,0.04695157948475798,0.00013226401466409632,0.0028091167762402357,False,CLEAN
XAF1,0.029394127428531647,0.02931396507488208,8.016235364956617e-05,0.0027271554103611845,False,CLEAN
STAT1,0.04306114464998245,0.04294743949901541,0.00011370515096704309,0.002640551055743694,True,CLEAN
GIMAP4,0.153591588139534,0.1532069503331819,0.00038463780635208944,0.0025042895318111817,False,CLEAN
IFITM3,0.07875138521194458,0.07855987779335599,0.00019150741858858789,0.0024317974607453775,True,CLEAN
CD52,0.3093400001525879,0.3085930457187416,0.0007469544338463141,0.0024146713437572394,False,CLEAN
CD74,0.8161681890487671,0.814370085224056,0.001798103824711128,0.002203104517963134,False,CLEAN
