gene_a,gene_b,combined_score
GZMB,CD247,883
GZMB,CD8A,963
SOS2,PDGFRB,925
SOS2,GRAP,803
SOS2,LCK,737
SOS2,GRAP2,919
SOS2,KRAS,985
AHSA1,HSPE1,831
AHSA1,CHORDC1,858
AHSA1,NKTR,808
AHSA1,HSPD1,782
AHSA1,PPIG,811
AHSA1,CACYBP,730
AHSA1,HSPH1,728
AHSA1,HSPA5,732
AHSA1,DNAJB1,897
ALKBH1,ALKBH4,955
ALKBH1,METTL16,700
PCK2,IL4I1,815
MYBL2,BUB1,723
MYBL2,RRM2,745
MYBL2,UBE2C,773
MYBL2,E2F5,848
TUBB1,GP9,820
TUBB1,ACRBP,784
TUBB1,TCP1,712
TUBB1,TUBA1B,979
TUBB1,TUBA4A,964
TUBB1,ITGA2B,704
APMAP,MRPL17,731
APMAP,POLR2B,704
APMAP,IMP3,761
PGRMC1,INSIG1,967
PGRMC1,FECH,959
TIMP1,PLAUR,768
TIMP1,CCL5,740
TIMP1,MMP7,925
TIMP1,IFNG,760
TIMP1,LGALS3,743
TIMP1,TNF,727
TIMP1,IL1B,791
TIMP1,THBS1,762
TIMP1,CCL2,867
TIMP1,EGF,728
TIMP1,IL6,938
TIMP1,SPP1,781
TIMP1,JUN,701
TIMP1,CXCL10,744
TIMP1,LCN2,850
ACP5,SPP1,701
ACP5,DCSTAMP,839
ACP5,FOS,812
NTHL1,POLE,772
NTHL1,FEN1,792
CCL22,CCL4,772
CCL22,CCL20,831
CCL22,CXCL11,735
CCL22,PPBP,709
CCL22,CCL2,914
CCL22,CXCL3,713
CCL22,CXCL10,959
CCL22,IL6,825
CCL22,CXCL9,843
CCL22,CXCL2,849
CCL22,CXCR6,840
CCL22,CTLA4,705
CCL22,CD40LG,740
CCL22,CXCL5,874
CCL22,IL1B,816
CCL22,TNF,811
CCL22,CX3CR1,877
CCL22,IL2,736
CCL22,CD8A,768
CCL22,CXCR3,941
CCL22,CXCL13,778
CCL22,CCL26,776
CCL22,CCL19,947
CCL22,CSF2,800
CCL22,IFNG,765
CCL22,CXCL1,920
CCL22,CCL5,926
USB1,CCDC12,726
USB1,BCAS2,771
NME3,NTPCR,946
NME3,BBS4,805
NME3,CMPK2,941
NME3,RRM2,750
NME3,AK3,936
NME3,NUDT2,922
NME3,NME1,989
NME3,RRM1,816
NME3,MOCS1,800
AGO2,FMR1,998
AGO2,DDX6,999
AGO2,KRAS,734
AGO2,YY1,796
AGO2,UPF1,949
AGO2,TNF,709
AGO2,PDCD4,814
AGO2,EIF4EBP1,820
AGO2,MYC,851
EMC2,MMGT1,999
TNFRSF10A,FASLG,998
TNFRSF10A,CASP8,997
TNFRSF10A,HLA-DQA1,954
TNFRSF10A,TNFRSF25,998
TNFRSF10A,HLA-DRB1,868
TNFRSF10A,TNF,997
TNFRSF10A,CD8A,700
TNFRSF10A,BCL2,708
TNFRSF10A,HLA-DQB1,802
TNFRSF10A,CASP3,732
EXOSC5,MPHOSPH10,721
EXOSC5,WDR61,779
EXOSC5,BYSL,828
EXOSC5,NOP58,798
EXOSC5,IMP3,904
EXOSC5,PNO1,815
TBCB,TUBA1B,786
TBCB,TUBA4A,808
CD79A,TCL1A,711
CD79A,MME,870
CD79A,CXCL9,988
CD79A,CD72,771
CD79A,MZB1,815
CD79A,CD27,877
CD79A,CD7,754
CD79A,BLNK,998
CD79A,BCL2,705
CD79A,MS4A1,935
CD79A,CD79B,999
CD79A,FCRLA,823
CD79A,CD19,998
CD79A,CD2,744
CD79A,IGLL5,984
CD79A,CD38,825
CD79A,FYN,932
