gene_a,gene_b,combined_score
IL2RB,CD247,917
IL2RB,STAT5B,976
IL2RB,IL11,730
IL2RB,CD8A,922
IL2RB,IL2,999
IL2RB,CXCR3,716
IL2RB,PDCD1,715
IL2RB,IFNB1,729
IL2RB,LCK,874
IL2RB,CXCR6,715
IL2RB,CD69,732
IL2RB,CD2,824
IL2RB,PRF1,913
IL2RB,JAK2,937
IL2RB,IL6,859
IL2RB,IL24,741
IL2RB,IL7R,891
IL2RB,KLRD1,868
IL2RB,EOMES,783
IL2RB,STAT3,871
IL2RB,CD27,829
IL2RB,IL19,701
IL2RB,KLRG1,718
IL2RB,JAK1,998
IL2RB,TBX21,813
IL2RB,GZMB,907
IL2RB,IL2RA,999
IL2RB,IL5RA,851
IL2RB,FASLG,740
GZMH,GZMM,710
GZMH,CST7,721
GZMH,KLRB1,712
GZMH,GZMA,877
GZMH,CTSW,765
GZMH,FGFBP2,905
GZMH,EOMES,776
GZMH,KLRD1,877
GZMH,PRF1,935
GZMH,CD2,834
GZMH,CD8A,895
GZMH,CCL5,869
GZMH,NKG7,969
GZMH,GNLY,958
GZMH,ZNF683,866
GZMH,FASLG,747
GZMH,GZMB,847
GZMH,LAG3,731
GZMH,GZMK,878
GZMB,TBX21,918
GZMB,IL2RB,907
GZMB,CASP8,962
GZMB,CCL4,748
GZMB,BID,964
GZMB,NCR3,736
GZMB,CXCL9,728
GZMB,KLRD1,863
GZMB,EOMES,843
GZMB,CXCL10,715
GZMB,TUBA4A,908
GZMB,CD27,785
GZMB,KLRB1,787
GZMB,PDCD1,832
GZMB,TNF,870
GZMB,IL1B,765
GZMB,CD69,838
GZMB,CTLA4,827
GZMB,CASP3,986
GZMB,PARP1,955
GZMB,GZMA,904
GZMB,LMNA,940
GZMB,IL2,887
GZMB,TNFRSF9,795
GZMB,CXCR3,767
GZMB,KLF2,783
GZMB,PARP2,905
GZMB,CTSC,718
GZMB,LMNB2,911
GZMB,FASLG,942
GZMB,IL7R,772
GZMB,DFFA,966
GZMB,GZMH,847
GZMB,ICOS,739
GZMB,IL18RAP,700
GZMB,TIGIT,769
GZMB,FCGR3B,765
GZMB,KLRG1,771
GZMB,LAG3,930
GZMB,TUBA1B,911
GZMB,LCK,738
GZMB,KLRC1,741
GZMB,CD19,805
GZMB,CD2,874
GZMB,B3GAT1,724
GZMB,PRF1,999
GZMB,NCR1,753
GZMB,GNLY,995
GZMB,CCL5,865
GZMB,NKG7,917
GZMB,FCGR3A,799
GZMB,CSF2,775
GZMB,IFNG,956
GZMB,CD38,786
GZMB,CD247,883
GZMB,CD8A,963
SOS2,PDGFRB,925
SOS2,GRAP,803
SOS2,LCK,737
SOS2,GRAP2,919
SOS2,KRAS,985
PIGH,PIGB,854
AHSA1,HSPE1,831
AHSA1,CDC37,968
AHSA1,CHORDC1,858
AHSA1,NKTR,808
AHSA1,HSPD1,782
AHSA1,PPIG,811
AHSA1,CACYBP,730
AHSA1,HSP90B1,915
AHSA1,HSPH1,728
AHSA1,HSPA5,732
AHSA1,DNAJB1,897
ALKBH1,ALKBH7,946
ALKBH1,ALKBH4,955
ALKBH1,METTL4,761
ALKBH1,METTL16,700
ALKBH1,YTHDF2,791
PCK2,AFMID,812
PCK2,IL4I1,815
MYBL2,BUB1,723
MYBL2,TOP2A,718
MYBL2,RRM2,745
MYBL2,UBE2C,773
MYBL2,TK1,765
MYBL2,CCND1,702
MYBL2,LIN37,999
MYBL2,E2F5,848
TUBB1,GP9,820
TUBB1,ACRBP,784
TUBB1,TCP1,712
TUBB1,TUBA1B,979
TUBB1,TUBA4A,964
TUBB1,ITGA2B,704
APMAP,MRPL17,731
APMAP,POLR2C,741
APMAP,POLR2B,704
APMAP,IMP3,761
